Symbol,Cumulative Return (%),Annual Return (%),Sharpe,Sortino,Max Drawdown (%),Win Rate (%),Profit Factor,Avg Trade %
LTIM,62.03,8.56,0.74,1.36,-11.77,75.0,16.48,13.17
HCLTECH,58.99,8.22,0.76,1.52,-9.65,100.0,,26.39
WIPRO,54.43,7.68,0.64,1.52,-11.5,50.0,11.59,24.54
RELIANCE,45.31,6.57,0.7,1.3,-9.79,100.0,,20.82
BPCL,27.42,4.21,0.35,0.63,-18.16,66.67,5.02,8.63
TATASTEEL,26.53,4.09,0.28,0.43,-23.24,75.0,4.14,6.27
DIVISLAB,21.74,3.41,0.4,0.63,-17.06,60.0,3.23,4.33
BRITANNIA,20.42,3.21,0.49,0.81,-8.58,100.0,,20.81
INDUSINDBK,19.67,3.1,0.42,0.71,-10.01,100.0,,19.93
HINDALCO,18.13,2.88,0.24,0.38,-19.63,66.67,3.47,5.93
BHARTIARTL,17.78,2.83,0.43,0.75,-8.13,100.0,,18.03
MARUTI,16.92,2.7,0.42,0.69,-7.93,66.67,16.74,5.77
LT,10.41,1.7,0.35,0.57,-8.73,50.0,14.81,5.35
HEROMOTOCO,9.16,1.5,0.14,0.21,-23.12,25.0,1.78,2.42
TECHM,6.13,1.02,0.3,0.51,-5.85,100.0,,3.26
GRASIM,5.91,0.98,0.19,0.26,-9.43,50.0,3.77,3.15
CIPLA,5.56,0.93,0.16,0.26,-6.88,100.0,,5.78
DRREDDY,5.09,0.85,0.18,0.28,-9.56,33.33,2.14,1.28
SBIN,4.39,0.73,0.09,0.13,-21.39,50.0,4.42,2.38
TATACONSUM,3.86,0.65,0.37,0.69,-3.18,100.0,,4.07
ITC,2.93,0.49,0.09,0.13,-10.34,50.0,1.58,1.66
HINDUNILVR,2.15,0.36,0.05,0.07,-18.78,50.0,1.43,1.28
UPL,1.8,0.3,0.11,0.16,-5.79,100.0,,2.0
SUNPHARMA,1.66,0.28,0.04,0.06,-14.22,25.0,1.39,0.62
EICHERMOT,1.06,0.18,0.03,0.05,-14.72,50.0,2.5,0.73
ULTRACEMCO,0.35,0.06,0.01,0.02,-10.63,100.0,,0.57
ADANIPORTS,0.0,0.0,,,-0.0,,,
HDFCLIFE,0.0,0.0,,,-0.0,,,
SBILIFE,0.0,0.0,,,-0.0,,,
NTPC,0.0,0.0,,,-0.0,,,
KOTAKBANK,0.0,0.0,,,-0.0,,,
M&M,0.0,0.0,,,-0.0,,,
AXISBANK,0.0,0.0,,,-0.0,,,
HDFCBANK,0.0,0.0,,,-0.0,,,
ICICIBANK,0.0,0.0,,,-0.0,,,
INFY,0.0,0.0,,,-0.0,,,
BAJFINANCE,-1.24,-0.21,-0.03,-0.05,-11.36,33.33,0.96,-0.36
TITAN,-1.85,-0.32,-0.34,-0.4,-2.09,0.0,0.0,-1.67
HDFCAMC,-2.11,-0.36,-0.08,-0.11,-11.81,0.0,0.0,-1.94
JSWSTEEL,-3.29,-0.57,-0.29,-0.39,-6.29,0.0,0.0,-3.11
COALINDIA,-3.94,-0.68,-0.15,-0.2,-11.15,0.0,0.0,-3.75
BAJAJFINSV,-4.98,-0.87,-0.12,-0.17,-18.44,33.33,0.79,-1.54
NESTLEIND,-5.79,-1.01,-0.15,-0.21,-18.03,33.33,0.7,-1.79
TATAMOTORS,-6.49,-1.14,-0.18,-0.25,-14.94,0.0,0.0,-6.31
TCS,-6.85,-1.2,-0.48,-0.61,-7.25,0.0,0.0,-6.71
POWERGRID,-7.47,-1.31,-0.5,-0.64,-10.42,0.0,0.0,-7.29
ASIANPAINT,-8.31,-1.47,-0.57,-0.65,-11.61,0.0,0.0,-8.34
ONGC,-8.77,-1.55,-0.56,-0.68,-11.15,0.0,0.0,-8.6
BAJAJ-AUTO,-8.88,-1.57,-0.34,-0.41,-10.19,0.0,0.0,-2.89
ADANIENT,-10.67,-1.9,-0.15,-0.18,-20.79,25.0,0.28,-2.57
